cnae,description,segment,fit,note
3250707,FABRICAÇÃO DE ARTIGOS ÓPTICOS,Saúde / Hospitalar,check,optical articles
3250709,SERVIÇO DE LABORATÓRIO ÓPTICO,Saúde / Hospitalar,check,optical laboratory service
3291400,"FABRICAÇÃO DE ESCOVAS, PINCÉIS E VASSOURAS",Construção / Hidráulica,check,also paint brushes and rollers
3291400,"FABRICAÇÃO DE ESCOVAS, PINCÉIS E VASSOURAS",Limpeza / Higiene,compatible,brushes and brooms
3292201,FABRICAÇÃO DE ROUPAS DE PROTEÇÃO E SEGURANÇA E RESISTENTES A FOGO,Vestuário / Uniformes,compatible,protective clothing
3292202,FABRICAÇÃO DE EQUIPAMENTOS E ACESSÓRIOS PARA SEGURANÇA PESSOAL E PROFISSIONAL,Saúde / Hospitalar,check,gloves and masks are classified as hospital items
3292202,FABRICAÇÃO DE EQUIPAMENTOS E ACESSÓRIOS PARA SEGURANÇA PESSOAL E PROFISSIONAL,Vestuário / Uniformes,compatible,personal protective equipment
3299002,"FABRICAÇÃO DE CANETAS, LÁPIS E OUTROS ARTIGOS PARA ESCRITÓRIO",Gráfico / Escritório,compatible,pens and office articles
3299003,"FABRICAÇÃO DE LETRAS, LETREIROS E PLACAS DE QUALQUER MATERIAL, EXCETO LUMINOSOS",Gráfico / Escritório,check,signs and plates
3299004,FABRICAÇÃO DE PAINÉIS E LETREIROS LUMINOSOS,Gráfico / Escritório,check,illuminated signs
3312103,MANUTENÇÃO E REPARAÇÃO DE APARELHOS ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIPAMENTOS DE IRRADIAÇÃO,Saúde / Hospitalar,compatible,electromedical maintenance
3313901,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS",Elétrica,check,service provider in this field; segment tenders are mostly material purchases
3313902,"MANUTENÇÃO E REPARAÇÃO DE BATERIAS E ACUMULADORES ELÉTRICOS, EXCETO PARA VEÍCULOS",Elétrica,check,service provider in this field; segment tenders are mostly material purchases
3313999,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE",Elétrica,check,service provider in this field; segment tenders are mostly material purchases
3314709,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS DE ESCREVER, CALCULAR E DE OUTROS EQUIPAMENTOS NÃO ELETRÔNICOS PARA ESCRITÓRIO",Gráfico / Escritório,check,service provider in this field; segment tenders are mostly material purchases
3329501,SERVIÇOS DE MONTAGEM DE MÓVEIS DE QUALQUER MATERIAL,Mobiliário,check,service provider in this field; segment tenders are mostly material purchases
4110700,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,Construção / Hidráulica,check,property development rather than contracting
4120400,CONSTRUÇÃO DE EDIFÍCIOS,Construção / Hidráulica,compatible,
4211101,CONSTRUÇÃO DE RODOVIAS E FERROVIAS,Construção / Hidráulica,compatible,
4211102,PINTURA PARA SINALIZAÇÃO EM PISTAS RODOVIÁRIAS E AEROPORTOS,Construção / Hidráulica,compatible,
4212000,CONSTRUÇÃO DE OBRAS DE ARTE ESPECIAIS,Construção / Hidráulica,compatible,
4213800,"OBRAS DE URBANIZAÇÃO - RUAS, PRAÇAS E CALÇADAS",Construção / Hidráulica,compatible,
4221901,CONSTRUÇÃO DE BARRAGENS E REPRESAS PARA GERAÇÃO DE ENERGIA ELÉTRICA,Construção / Hidráulica,compatible,
4221902,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,Construção / Hidráulica,compatible,
4221903,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,Construção / Hidráulica,compatible,
4221904,CONSTRUÇÃO DE ESTAÇÕES E REDES DE TELECOMUNICAÇÕES,Construção / Hidráulica,compatible,
4221905,MANUTENÇÃO DE ESTAÇÕES E REDES DE TELECOMUNICAÇÕES,Construção / Hidráulica,compatible,
4222701,"CONSTRUÇÃO DE REDES DE ABASTECIMENTO DE ÁGUA, COLETA DE ESGOTO E CONSTRUÇÕES CORRELATAS, EXCETO OBRAS DE IRRIGAÇÃO",Construção / Hidráulica,compatible,
4222702,OBRAS DE IRRIGAÇÃO,Construção / Hidráulica,compatible,
4223500,"CONSTRUÇÃO DE REDES DE TRANSPORTES POR DUTOS, EXCETO PARA ÁGUA E ESGOTO",Construção / Hidráulica,compatible,
4291000,"OBRAS PORTUÁRIAS, MARÍTIMAS E FLUVIAIS",Construção / Hidráulica,compatible,
4292801,MONTAGEM DE ESTRUTURAS METÁLICAS,Construção / Hidráulica,compatible,
4292802,OBRAS DE MONTAGEM INDUSTRIAL,Construção / Hidráulica,compatible,
4299501,CONSTRUÇÃO DE INSTALAÇÕES ESPORTIVAS E RECREATIVAS,Construção / Hidráulica,compatible,
4299599,OUTRAS OBRAS DE ENGENHARIA CIVIL NÃO ESPECIFICADAS ANTERIORMENTE,Construção / Hidráulica,compatible,
4311801,DEMOLIÇÃO DE EDIFÍCIOS E OUTRAS ESTRUTURAS,Construção / Hidráulica,compatible,
4311802,PREPARAÇÃO DE CANTEIRO E LIMPEZA DE TERRENO,Construção / Hidráulica,compatible,
4312600,PERFURAÇÕES E SONDAGENS,Construção / Hidráulica,compatible,
4313400,OBRAS DE TERRAPLENAGEM,Construção / Hidráulica,compatible,
4319300,SERVIÇOS DE PREPARAÇÃO DO TERRENO NÃO ESPECIFICADOS ANTERIORMENTE,Construção / Hidráulica,compatible,
4321500,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,Construção / Hidráulica,compatible,
4321500,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,Elétrica,check,service provider in this field; segment tenders are mostly material purchases
4322301,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS",Construção / Hidráulica,compatible,plumbing
4322302,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO",Construção / Hidráulica,check,air conditioning installation
4322303,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO,Construção / Hidráulica,check,fire prevention systems
4329101,INSTALAÇÃO DE PAINÉIS PUBLICITÁRIOS,Gráfico / Escritório,check,advertising panels
4329102,INSTALAÇÃO DE EQUIPAMENTOS PARA ORIENTAÇÃO À NAVEGAÇÃO MARÍTIMA FLUVIAL E LACUSTRE,Construção / Hidráulica,check,navigation aids: a narrow installation niche
4329103,"INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",Construção / Hidráulica,check,lifts and escalators
4329104,"MONTAGEM E INSTALAÇÃO DE SISTEMAS E EQUIPAMENTOS DE ILUMINAÇÃO E SINALIZAÇÃO EM VIAS PÚBLICAS, PORTOS E AEROPORTOS",Construção / Hidráulica,compatible,road signalling
4329104,"MONTAGEM E INSTALAÇÃO DE SISTEMAS E EQUIPAMENTOS DE ILUMINAÇÃO E SINALIZAÇÃO EM VIAS PÚBLICAS, PORTOS E AEROPORTOS",Elétrica,compatible,public lighting
4329105,"TRATAMENTOS TÉRMICOS, ACÚSTICOS OU DE VIBRAÇÃO",Construção / Hidráulica,check,"thermal, acoustic and vibration treatments"
4329199,OUTRAS OBRAS DE INSTALAÇÕES EM CONSTRUÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,Construção / Hidráulica,check,unspecified building installations
4330401,IMPERMEABILIZAÇÃO EM OBRAS DE ENGENHARIA CIVIL,Construção / Hidráulica,compatible,
4330402,"INSTALAÇÃO DE PORTAS, JANELAS, TETOS, DIVISÓRIAS E ARMÁRIOS EMBUTIDOS DE QUALQUER MATERIAL",Construção / Hidráulica,compatible,
4330403,OBRAS DE ACABAMENTO EM GESSO E ESTUQUE,Construção / Hidráulica,compatible,
4330404,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL,Construção / Hidráulica,compatible,
4330405,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,Construção / Hidráulica,compatible,
4330499,OUTRAS OBRAS DE ACABAMENTO DA CONSTRUÇÃO,Construção / Hidráulica,compatible,
4391600,OBRAS DE FUNDAÇÕES,Construção / Hidráulica,compatible,
4399101,ADMINISTRAÇÃO DE OBRAS,Construção / Hidráulica,compatible,
4399102,MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORÁRIAS,Construção / Hidráulica,compatible,
4399103,OBRAS DE ALVENARIA,Construção / Hidráulica,compatible,
4399104,SERVIÇOS DE OPERAÇÃO E FORNECIMENTO DE EQUIPAMENTOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS E PESSOAS PARA USO EM OBRAS,Construção / Hidráulica,check,equipment hire for works
4399105,PERFURAÇÃO E CONSTRUÇÃO DE POÇOS DE ÁGUA,Construção / Hidráulica,compatible,
4399199,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,Construção / Hidráulica,compatible,
4511101,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",Veículos / Peças,compatible,
4511102,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS",Veículos / Peças,compatible,
4511103,"COMÉRCIO POR ATACADO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS E USADOS",Veículos / Peças,compatible,
4511104,COMÉRCIO POR ATACADO DE CAMINHÕES NOVOS E USADOS,Veículos / Peças,compatible,
4511105,COMÉRCIO POR ATACADO DE REBOQUES E SEMI REBOQUES NOVOS E USADOS,Veículos / Peças,compatible,
4511106,COMÉRCIO POR ATACADO DE ÔNIBUS E MICROÔNIBUS NOVOS E USADOS,Veículos / Peças,compatible,
4512901,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE VEÍCULOS AUTOMOTORES,Veículos / Peças,check,"representante comercial: intermediates, does not necessarily hold stock"
4512902,COMÉRCIO SOB CONSIGNAÇÃO DE VEÍCULOS AUTOMOTORES,Veículos / Peças,check,"representante comercial: intermediates, does not necessarily hold stock"
4520001,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,
4520002,SERVIÇOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,
4520003,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO ELÉTRICA DE VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,
4520004,SERVIÇOS DE ALINHAMENTO E BALANCEAMENTO DE VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,
4520005,"SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE VEÍCULOS AUTOMOTORES",Veículos / Peças,compatible,
4520006,SERVIÇOS DE BORRACHARIA PARA VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,
4520007,"SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES",Veículos / Peças,compatible,
4520008,SERVIÇOS DE CAPOTARIA,Veículos / Peças,compatible,
4530701,COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,
4530702,COMÉRCIO POR ATACADO DE PNEUMÁTICOS E CÂMARAS DE AR,Veículos / Peças,compatible,
4530703,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,
4530704,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES,Veículos / Peças,check,used parts only
4530705,COMÉRCIO A VAREJO DE PNEUMÁTICOS E CÂMARAS DE AR,Veículos / Peças,compatible,
4530706,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE PEÇAS E ACESSÓRIOS NOVOS E USADOS PARA VEÍCULOS AUTOMOTORES,Veículos / Peças,check,"representante comercial: intermediates, does not necessarily hold stock"
4541201,COMÉRCIO POR ATACADO DE MOTOCICLETAS E MOTONETAS,Veículos / Peças,compatible,
4541202,COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRIOS PARA MOTOCICLETAS E MOTONETAS,Veículos / Peças,compatible,
4541203,COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS,Veículos / Peças,compatible,
4541204,COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS,Veículos / Peças,compatible,
4541206,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA MOTOCICLETAS E MOTONETAS,Veículos / Peças,compatible,
4541207,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA MOTOCICLETAS E MOTONETAS,Veículos / Peças,check,used parts only
4542101,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MOTOCICLETAS E MOTONETAS, PEÇAS E ACESSÓRIOS",Veículos / Peças,check,"representante comercial: intermediates, does not necessarily hold stock"
4542102,COMÉRCIO SOB CONSIGNAÇÃO DE MOTOCICLETAS E MOTONETAS,Veículos / Peças,check,"representante comercial: intermediates, does not necessarily hold stock"
4543900,MANUTENÇÃO E REPARAÇÃO DE MOTOCICLETAS E MOTONETAS,Veículos / Peças,compatible,
4612500,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE COMBUSTÍVEIS, MINERAIS, PRODUTOS SIDERÚRGICOS E QUÍMICOS",Veículos / Peças,check,"representante comercial: intermediates, does not necessarily hold stock; fuels"
4613300,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MADEIRA, MATERIAL DE CONSTRUÇÃO E FERRAGENS",Construção / Hidráulica,check,"representante comercial: intermediates, does not necessarily hold stock"
4613300,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MADEIRA, MATERIAL DE CONSTRUÇÃO E FERRAGENS",Ferragens / Ferramentas,check,"representante comercial: intermediates, does not necessarily hold stock"
4615000,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE ELETRODOMÉSTICOS, MÓVEIS E ARTIGOS DE USO DOMÉSTICO",Mobiliário,check,"representante comercial: intermediates, does not necessarily hold stock"
4616800,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE TÊXTEIS, VESTUÁRIO, CALÇADOS E ARTIGOS DE VIAGEM",Vestuário / Uniformes,check,"representante comercial: intermediates, does not necessarily hold stock"
4617600,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",Alimentos,check,"representante comercial: intermediates, does not necessarily hold stock"
4618401,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MEDICAMENTOS, COSMÉTICOS E PRODUTOS DE PERFUMARIA",Saúde / Hospitalar,check,"representante comercial: intermediates, does not necessarily hold stock; medicines"
4618402,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE INSTRUMENTOS E MATERIAIS ODONTO MÉDICO HOSPITALARES,Saúde / Hospitalar,check,"representante comercial: intermediates, does not necessarily hold stock; medical/dental instruments"
4618403,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE JORNAIS, REVISTAS E OUTRAS PUBLICAÇÕES",Gráfico / Escritório,check,"representante comercial: intermediates, does not necessarily hold stock; publications"
4621400,COMÉRCIO ATACADISTA DE CAFÉ EM GRÃO,Alimentos,check,"green coffee beans, not the roasted coffee tenders buy"
4623109,COMÉRCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS,Alimentos,check,"animal feed, not human food"
4631100,COMÉRCIO ATACADISTA DE LEITE E LATICÍNIOS,Alimentos,compatible,
4632001,COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS,Alimentos,compatible,
4632002,"COMÉRCIO ATACADISTA DE FARINHAS, AMIDOS E FÉCULAS",Alimentos,compatible,
4632003,"COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FÉCULAS, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA",Alimentos,compatible,
4633801,"COMÉRCIO ATACADISTA DE FRUTAS, VERDURAS, RAÍZES, TUBÉRCULOS, HORTALIÇAS E LEGUMES FRESCOS",Alimentos,compatible,
4633802,COMÉRCIO ATACADISTA DE AVES VIVAS E OVOS,Alimentos,compatible,
4633803,COMÉRCIO ATACADISTA DE COELHOS E OUTROS PEQUENOS ANIMAIS VIVOS PARA ALIMENTAÇÃO,Alimentos,check,live small animals
4634601,COMÉRCIO ATACADISTA DE CARNES BOVINAS E SUÍNAS E DERIVADOS,Alimentos,compatible,
4634602,COMÉRCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS,Alimentos,compatible,
4634603,COMÉRCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR,Alimentos,compatible,
4634699,COMÉRCIO ATACADISTA DE CARNES E DERIVADOS DE OUTROS ANIMAIS,Alimentos,compatible,
4635401,COMÉRCIO ATACADISTA DE ÁGUA MINERAL,Alimentos,check,beverages only; the segment is food
4635402,"COMÉRCIO ATACADISTA DE CERVEJA, CHOPE E REFRIGERANTE",Alimentos,check,beverages only; the segment is food
4635403,COMÉRCIO ATACADISTA DE BEBIDAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA,Alimentos,check,beverages only; the segment is food
4635499,COMÉRCIO ATACADISTA DE BEBIDAS NÃO ESPECIFICADAS ANTERIORMENTE,Alimentos,check,beverages only; the segment is food
4637101,"COMÉRCIO ATACADISTA DE CAFÉ TORRADO, MOÍDO E SOLÚVEL",Alimentos,compatible,
4637102,COMÉRCIO ATACADISTA DE AÇÚCAR,Alimentos,compatible,
4637103,COMÉRCIO ATACADISTA DE ÓLEOS E GORDURAS,Alimentos,compatible,
4637104,"COMÉRCIO ATACADISTA DE PÃES, BOLOS, BISCOITOS E SIMILARES",Alimentos,compatible,
4637105,COMÉRCIO ATACADISTA DE MASSAS ALIMENTÍCIAS,Alimentos,compatible,
4637106,COMÉRCIO ATACADISTA DE SORVETES,Alimentos,check,ice cream only
4637107,"COMÉRCIO ATACADISTA DE CHOCOLATES, CONFEITOS, BALAS, BOMBONS E SEMELHANTES",Alimentos,check,confectionery only
4637199,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,Alimentos,compatible,
4639701,COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL,Alimentos,compatible,
4639702,"COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA",Alimentos,compatible,
4641901,COMÉRCIO ATACADISTA DE TECIDOS,Vestuário / Uniformes,check,"fabric, not finished garments"
4642701,"COMÉRCIO ATACADISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS, EXCETO PROFISSIONAIS E DE SEGURANÇA",Vestuário / Uniformes,compatible,
4642702,COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS PARA USO PROFISSIONAL E DE SEGURANÇA DO TRABALHO,Vestuário / Uniformes,compatible,workwear and safety clothing
4643501,COMÉRCIO ATACADISTA DE CALÇADOS,Vestuário / Uniformes,compatible,
4644301,COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO HUMANO,Saúde / Hospitalar,compatible,
4644302,COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO VETERINÁRIO,Saúde / Hospitalar,check,veterinary medicines
4645101,"COMÉRCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO, CIRÚRGICO, HOSPITALAR E DE LABORATÓRIOS",Saúde / Hospitalar,compatible,
4645102,COMÉRCIO ATACADISTA DE PRÓTESES E ARTIGOS DE ORTOPEDIA,Saúde / Hospitalar,compatible,
4645103,COMÉRCIO ATACADISTA DE PRODUTOS ODONTOLÓGICOS,Saúde / Hospitalar,compatible,
4646001,COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA,Limpeza / Higiene,check,"cosmetics and perfumery, hygiene only incidentally"
4646002,COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE PESSOAL,Limpeza / Higiene,compatible,
4647801,COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRITÓRIO E DE PAPELARIA,Gráfico / Escritório,compatible,
4647802,"COMÉRCIO ATACADISTA DE LIVROS, JORNAIS E OUTRAS PUBLICAÇÕES",Gráfico / Escritório,check,"books and periodicals, not office supplies"
4649401,COMÉRCIO ATACADISTA DE EQUIPAMENTOS ELÉTRICOS DE USO PESSOAL E DOMÉSTICO,Elétrica,check,"household appliances, not installation material"
4649402,COMÉRCIO ATACADISTA DE APARELHOS ELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,Informática / TI,check,consumer electronics
4649403,"COMÉRCIO ATACADISTA DE BICICLETAS, TRICICLOS E OUTROS VEÍCULOS RECREATIVOS",Esportes / Lazer,check,bicycles and recreational vehicles
4649404,COMÉRCIO ATACADISTA DE MÓVEIS E ARTIGOS DE COLCHOARIA,Mobiliário,compatible,
4649405,COMÉRCIO ATACADISTA DE ARTIGOS DE TAPEÇARIA; PERSIANAS E CORTINAS,Mobiliário,check,soft furnishings
4649406,"COMÉRCIO ATACADISTA DE LUSTRES, LUMINÁRIAS E ABAJURES",Elétrica,compatible,lighting
4649408,"COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVAÇÃO DOMICILIAR",Limpeza / Higiene,compatible,
4649409,"COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVAÇÃO DOMICILIAR, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA",Limpeza / Higiene,compatible,
4651601,COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA,Informática / TI,compatible,
4651602,COMÉRCIO ATACADISTA DE SUPRIMENTOS PARA INFORMÁTICA,Informática / TI,compatible,
4652400,COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔNICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO,Informática / TI,check,electronic components and telecom equipment
4662100,"COMÉRCIO ATACADISTA DE MÁQUINAS, EQUIPAMENTOS PARA TERRAPLENAGEM, MINERAÇÃO E CONSTRUÇÃO; PARTES E PEÇAS",Construção / Hidráulica,check,"construction machinery, not materials"
4664800,"COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USO ODONTO MÉDICO HOSPITALAR; PARTES E PEÇAS",Saúde / Hospitalar,compatible,
4669901,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS,Construção / Hidráulica,check,pumps and compressors
4671100,COMÉRCIO ATACADISTA DE MADEIRA E PRODUTOS DERIVADOS,Construção / Hidráulica,compatible,
4672900,COMÉRCIO ATACADISTA DE FERRAGENS E FERRAMENTAS,Construção / Hidráulica,check,hardware wholesalers usually also carry construction items
4672900,COMÉRCIO ATACADISTA DE FERRAGENS E FERRAMENTAS,Ferragens / Ferramentas,compatible,
4673700,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO,Elétrica,compatible,
4674500,COMÉRCIO ATACADISTA DE CIMENTO,Construção / Hidráulica,compatible,
4679601,"COMÉRCIO ATACADISTA DE TINTAS, VERNIZES E SIMILARES",Construção / Hidráulica,compatible,
4679602,COMÉRCIO ATACADISTA DE MÁRMORES E GRANITOS,Construção / Hidráulica,compatible,
4679603,"COMÉRCIO ATACADISTA DE VIDROS, ESPELHOS E VITRAIS",Construção / Hidráulica,compatible,
4679604,COMÉRCIO ATACADISTA ESPECIALIZADO DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,Construção / Hidráulica,compatible,
4679699,COMÉRCIO ATACADISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,Construção / Hidráulica,compatible,
4681801,"COMÉRCIO ATACADISTA DE ÁLCOOL CARBURANTE, BIODIESEL, GASOLINA E DEMAIS DERIVADOS DE PETRÓLEO, EXCETO LUBRIFICANTES, NÃO REALIZADO POR TRANSPORTADOR RETALHISTA (T.R.R.)",Veículos / Peças,compatible,fuels and lubricants
4681802,COMÉRCIO ATACADISTA DE COMBUSTÍVEIS REALIZADO POR TRANSPORTADOR RETALHISTA (T.R.R.),Veículos / Peças,compatible,fuels and lubricants
4681803,"COMÉRCIO ATACADISTA DE COMBUSTÍVEIS DE ORIGEM VEGETAL, EXCETO ÁLCOOL CARBURANTE",Veículos / Peças,compatible,fuels and lubricants
4681804,COMÉRCIO ATACADISTA DE COMBUSTÍVEIS DE ORIGEM MINERAL EM BRUTO,Veículos / Peças,compatible,fuels and lubricants
4681805,COMÉRCIO ATACADISTA DE LUBRIFICANTES,Veículos / Peças,compatible,fuels and lubricants
4685100,"COMÉRCIO ATACADISTA DE PRODUTOS SIDERÚRGICOS E METALÚRGICOS, EXCETO PARA CONSTRUÇÃO",Ferragens / Ferramentas,check,steel and metal products
4686901,COMÉRCIO ATACADISTA DE PAPEL E PAPELÃO EM BRUTO,Gráfico / Escritório,check,"paper and packaging in bulk, not office stationery"
4686902,COMÉRCIO ATACADISTA DE EMBALAGENS,Gráfico / Escritório,check,"paper and packaging in bulk, not office stationery"
4691500,"COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS",Alimentos,compatible,
4711301,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS HIPERMERCADOS",Alimentos,compatible,
4711301,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS HIPERMERCADOS",Limpeza / Higiene,check,supermarkets also carry cleaning and hygiene products
4711302,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS",Alimentos,compatible,
4711302,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS",Limpeza / Higiene,check,supermarkets also carry cleaning and hygiene products
4712100,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",Alimentos,compatible,
4712100,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",Limpeza / Higiene,check,minimarkets also carry cleaning and hygiene products
4721102,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA,Alimentos,compatible,
4721103,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS,Alimentos,compatible,
4721104,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",Alimentos,check,confectionery only
